"geneid","foldChange","log2FoldChange","qvalue"
"PARP12",1.48916523932024,0.574503845740958,0.00342248355922167
"C1orf115",0.518130959257738,-0.948611305097513,0.000395782778552963
"RMDN1",1.55828942587159,0.639963214458966,0.00336807811581901
"ECHDC2",0.468621298440944,-1.09350556992904,0.000530206616626874
"ORMDL2",1.38583207610349,0.470752453975939,0.00854497108486275
"DPP3",3.3157510421345,1.72933568844963,9.6203617577867e-05
"AURKAIP1",1.59809012252978,0.676348769755611,0.00658576409975202
"DTL",5.05847604667087,2.33870281356379,1.24178332442083e-05
"LPAR6",0.447248708277618,-1.16085077932715,2.61879152005926e-05
"TBC1D13",0.770108038148875,-0.376867239770862,0.00886670710836453
"ATP13A2",4.60349352589655,2.20272911759897,0.0016561956441596
"KIAA1551",0.725995087331031,-0.461968309072864,0.00389881489812148
"HEMK1",0.70774657430343,-0.498695233797546,0.00693453504219261
"NRN1",0.560395423107695,-0.83548292192876,0.00150413376997705
"MAN1B1",1.84783804053758,0.88583831284012,0.00884392954445647
"IMPACT",0.671239926118969,-0.575099563405349,0.00706024864018808
"C11orf95",0.700442380193659,-0.513661718361037,0.00371188936916956
"LARP6",0.552670407232775,-0.855508729452186,0.000259859791661724
"PIGG",0.709878656142919,-0.494355657794296,0.00105774427355524
"LHFP",0.352000822343237,-1.50634929560114,0.000131482940232793
"NCAPG",3.33835362262006,1.73913678351385,1.88638959872956e-05
"PJA1",0.758197108497213,-0.399355140310599,0.00756207333414628
"NES",0.455251647362586,-1.13526385717447,0.00501730448849618
"SDF2L1",1.6375540922576,0.711542563042688,0.0029800139907498
"PTBP2",0.586321049907177,-0.770237242056186,0.00099257655431964
"SYBU",0.641764576660618,-0.639883935193554,0.0071664564114667
"TSPAN15",1.78595664544254,0.836697059090591,0.000249263076069874
"ARMCX1",0.461879483582367,-1.11441163095058,0.000380803881612695
"EXOSC4",1.69718898075729,0.763147216867361,0.00264278243682005
"GRAMD3",0.216267688146052,-2.2091099618744,9.95018689439765e-06
"SDPR",0.399866549440763,-1.32240949634598,7.59750716183676e-05
"ICE2",0.737594828438876,-0.439099554374645,0.00737865945064811
"LEPREL1",0.317190062554977,-1.65658052222893,0.000193261732802649
"PDGFC",0.499144264628396,-1.00247124568993,0.00039222994790174
"C1orf27",1.53575150127393,0.618944793609103,0.00344036211463971
"RGCC",0.301532641195354,-1.72961391119737,4.7656158283694e-05
"HJURP",3.94930445394252,1.98159859019943,0.000106020956909272
"CNIH4",1.68723134201049,0.754657799997164,0.00247180108210429
"LXN",0.6390164000994,-0.646075137050843,0.00366592127771424
"OGN",0.359227250843242,-1.47703129835738,0.00450287709525196
"VWA1",2.23973461978108,1.16332780129758,0.00876498523433954
"PALMD",0.318496880684434,-1.65064885189758,4.58613159587237e-05
"CENPM",7.82253065413568,2.96763540696353,1e-10
"KIF20A",9.33757698434514,3.22304823235704,1e-10
"RRP1",2.30190038382318,1.20282540129207,0.00534960832394054
"RNF111",0.74261294669848,-0.429317627560485,0.00838714148155121
"SIDT2",0.63726228864532,-0.650040806166405,0.00247557344222682
"ANKRA2",0.585371196573287,-0.772576335787807,0.00108869510515284
"DCPS",2.29955726534719,1.20135612526893,0.00712350807473773
"ATAD2",2.31281144256846,1.2096476516377,5.52114028896455e-05
"INTS7",1.50523258714061,0.58998642810683,0.00541956875430553
"NT5DC3",0.630377035575072,-0.665713116034417,0.00039222994790174
"SMYD3",1.60321951235684,0.680971972408949,0.00199584593816622
"KATNBL1",0.697450930581848,-0.519836375718262,0.00329239535851619
"SCML1",0.466067978930616,-1.1013876985626,0.00111609062207091
"TXNL4B",0.753913503434142,-0.407529082434301,0.00737802479402373
"ACP6",0.750501110557137,-0.414073888205838,0.00613882697961893
"FERMT1",0.537404279161931,-0.895920285815557,0.000614263951088428
"ANO1",0.29732803307683,-1.74987260313758,3.78592476957569e-05
"SH3GLB2",3.68064781800874,1.87995971236261,0.00692710734458757
"INTS6",1.62653193230889,0.701799145853663,0.00312468878582788
"C14orf132",0.517665643591948,-0.949907522225075,0.000232399980841351
"KCTD9",0.42513615656567,-1.23400313377013,0.000202694001376943
"PNMAL1",0.466131076491488,-1.10119239577234,0.000316073643389155
"ARRB1",0.561847423721057,-0.831749692068408,0.00176439559155237
"TMEM132A",3.38024611818807,1.75712829401116,0.000438673456996488
"HEY1",0.55236284945361,-0.856311804095526,0.00015709102503956
"DUSP22",0.696611259536401,-0.521574303062284,0.00304075789911739
"IGF2BP2",0.409202805509398,-1.28911205860026,0.000125210603062753
"THOC6",3.30186381098893,1.72328061593171,0.00184438894093874
"PPP1R13L",0.720594985524121,-0.472739482512965,0.00295774207005869
"TPRA1",2.65128109241193,1.40668963479609,0.00968238213694717
"TNS1",0.373349934739052,-1.42139961602793,0.000125210603062753
"ACTR3B",0.583771376209547,-0.776524621308112,0.00214208733783877
"MLYCD",0.731099774866348,-0.451859787366002,0.0095466077518129
"TESC",0.253056914668963,-1.98246619899427,0.00053512687309857
"SIRT1",0.674314942887792,-0.568505526598134,0.00638870309488905
"CENPU",2.14279291531026,1.09949243121329,5.93669732990367e-05
"DCHS1",0.726449479989085,-0.461065623943906,0.00814615469817797
"ISOC2",1.74462357911398,0.802915793382292,0.000996013708129205
"MAGOHB",2.12209027555983,1.08548603105578,0.00168930100434063
"PLSCR4",0.329028847637221,-1.60371401694915,2.83944357718177e-05
"NABP2",1.94268924266113,0.958055142339814,0.00745327217569022
"C9orf40",0.660004019591262,-0.599453284012147,0.00516200474832277
"ASPSCR1",3.99298409327834,1.99746732476481,0.00199584593816622
"GMIP",2.14233007698478,1.09918077875398,0.00108243539044311
"SLC37A1",2.46508222822179,1.30163577166168,0.00368836560658057
"CDKN2AIP",0.702813114028168,-0.508786983554035,0.00350084677336719
"TMEM106B",1.60450918914331,0.682132052065043,0.00937632644890809
"EHD3",0.55837384411856,-0.840696731857415,0.000614263951088428
"PYCRL",3.30183809758234,1.72326938083822,2.48754672359941e-05
"ARAP3",0.55998724506721,-0.836534127873993,0.00015100871875027
"HOXC10",1.87577007980472,0.907483002131622,0.000172200421941169
"TMEM168",0.561160187801952,-0.83351543606873,0.000432244834184804
"KRT23",0.591481655498371,-0.757594670078733,0.00713266343823981
"MYO5C",0.686046953029671,-0.543620777111746,0.00198796779892592
"SOBP",0.446256462264783,-1.1640550338468,0.000241011550950438
"FHOD3",0.229049345862907,-2.12626965218725,9.95018689439765e-06
"C1RL",0.466627529966078,-1.09965666931858,7.31690511022373e-05
"TFPT",2.00893476433278,1.00643071653429,0.00247180108210429
"C14orf93",0.725052610843224,-0.463842411968351,0.00968237520712356
"PARP8",0.702727458842273,-0.508962822394203,0.00541347968970802
"CORO7",2.15248613794557,1.10600394666668,0.00608699495511573
"ZNF668",2.32340023271241,1.21623769655456,0.000907645574626013
"CSGALNACT1",0.501741420166086,-0.994984053333694,0.00253065331134021
"ZNHIT2",1.96984640251327,0.978083140863628,0.00230355118427718
"METRN",2.93320572243766,1.55247825907046,0.000461443481048212
"RABEP2",1.31589638986121,0.396045899621779,0.00790008178734586
"TINAGL1",0.516438237778979,-0.953332271213996,0.00234481159907321
"LAGE3",2.50210268551569,1.32314099847429,7.21052394881181e-05
"ITIH5",0.240098469886794,-2.05830188537888,9.95018689439765e-06
"PPCDC",1.80114985251026,0.848918215935909,0.00313058857149654
"BCL7C",2.43467439223664,1.2837288424859,0.00388827161250871
"YIPF2",1.77825591131858,0.83046295938858,0.00287428352038839
"ZNF839",0.712366532268267,-0.489308356191786,0.00293372270932264
"ASPN",3.2597817817397,1.70477538993511,0.000224357038957859
"MMRN2",0.412992382622631,-1.27581292257412,0.000125210603062753
"PID1",0.49644734630289,-1.01028738268443,0.00254040383552469
"RCN3",3.66508379739454,1.87384618408991,0.000135054740910038
"ORC6",1.86593900796544,0.89990182952092,0.000363919754166391
"KLHL41",0.572027204890584,-0.805844333500102,0.00304075789911739
"SPAG16",0.575658386185048,-0.796715169960316,0.00104025767730198
"C3orf18",0.499940681064901,-1.00017116842073,0.000257079245237481
"IL20RA",0.30695668688353,-1.70389299638242,1.24178332442083e-05
"C2orf44",0.73869629839474,-0.436946746559171,0.00732438170969152
"ZNF232",0.731165794655166,-0.451729514966818,0.00827941146784132
"PHF10",0.70248875377209,-0.509452965649324,0.00586655416903699
"TRMT13",0.607303759913827,-0.71950979371808,0.0012987458622383
"PELI2",0.258303381774859,-1.9528615631702,1e-10
"ELTD1",0.495071771795021,-1.01429040341872,0.00083308104511538
"RBP4",0.180845238227836,-2.4671724834877,0.00186700651294444
"RPP25",1.61728444723984,0.693573441663951,0.00157928045201238
"PBK",2.91254166904786,1.54227869021281,4.7656158283694e-05
"PODXL2",4.01857874421884,2.00668535184819,0.000246362976060554
"KLHL2",0.444361940859971,-1.17019283820516,0.000480295941231684
"SLAMF7",1.85978013406476,0.895132073890522,0.00241737172129156
"ATG2B",0.759198813516465,-0.397450357184885,0.00438582467480102
"RASL12",0.575878954694329,-0.79616249470245,0.000131482940232793
"TMEM231",0.659474166643291,-0.600611948504674,0.00101230638840015
"SIRT5",0.77341695700414,-0.370681699334503,0.00827558245626818
"FKBPL",1.99560821699033,0.996828514821173,0.00634584829565477
"FBXL6",1.67479084420038,0.743980936241481,0.00792723491642948
"PPARGC1A",0.563543553859099,-0.827400980482147,0.00371629671997313
"SCUBE2",0.375141889112462,-1.41449172860714,0.000636738528127838
"RHBDF2",1.69784840322517,0.763707649892766,0.00709980188721938
"EMC9",1.99921435436026,0.999433165125697,0.00854497108486275
"JAM2",0.46415252013309,-1.10732914323452,0.000106767084771632
"SLC39A4",1.73593239504256,0.79571076389068,0.000700530972802723
"ETAA1",0.704959746131088,-0.504387214276733,0.00692431586062521
"CACFD1",1.43097851111213,0.517002007393204,0.00211820440717993
"ZNF408",1.74823053002847,0.805895438042053,0.00304087302034377
"TMEM100",0.308892095898044,-1.6948251399289,0.000322947005512128
"SCRN3",0.72606170016585,-0.461835942339899,0.00837236604301242
"FKBP10",2.53953084674036,1.34456199794332,9.22886962096424e-05
"FLRT3",0.719893463478589,-0.474144675948396,0.00659812639338792
"RNF128",0.296191769425439,-1.75539654330206,0.000201607888364221
"GALNT14",2.0964683544715,1.0679610533221,0.000568914275997303
"TSPAN12",0.304657936561106,-1.71473777078618,0.000470389104061461
